Size,Insertion_Time(ms),Insertion_Memory(KB),Quick_Time(ms),Quick_Memory(KB),Merge_Time(ms),Merge_Memory(KB),Heap_Time(ms),Heap_Memory(KB),Composite_Time(ms),Composite_Memory(KB)
10,8e-06,0,1.5e-05,0.0585938,1.9e-05,0.0390625,4e-06,0,3.315e-07,0.0429688
15,1e-06,0,3e-06,0.0732422,5e-06,0.0585938,5e-06,0,4.203e-07,0.0625
20,6e-06,0,8e-06,0.0839844,5.1e-05,0.078125,8.5e-05,0,5.397e-07,0.0820312
25,6e-06,0,5.9e-05,0.0917969,0.000396,0.0976562,0.001,0,6.85e-07,0.101562
30,1.2e-05,0,0.000794,0.0996094,0.001001,0.117188,0.001001,0,8.487e-07,0.121094
35,8.4e-05,0,0.001003,0.106445,0.001006,0.136719,0.001013,0,1.023e-06,0.140625
40,0.000723,0,0.001003,0.110352,0.001011,0.15625,0.001265,0,1.2254e-06,0.160156
45,0.001001,0,0.001007,0.115234,0.001081,0.175781,0.002005,0,1.4477e-06,0.179688
50,0.001005,0,0.001046,0.120117,0.001972,0.195312,0.002012,0,1.6699e-06,0.199219
55,0.001053,0,0.001468,0.123047,0.002005,0.214844,0.002058,0,2.1778e-06,0
60,0.001384,0,0.001995,0.12793,0.002007,0.234375,0.002846,0,2.3686e-06,0
65,0.00193,0,0.002008,0.130859,0.002069,0.253906,0.00301,0,2.5642e-06,0
70,0.002021,0,0.002012,0.133789,0.002993,0.273438,0.003025,0,2.7856e-06,0
75,0.002261,0,0.002036,0.136719,0.003015,0.292969,0.003583,0,2.9918e-06,0
80,0.002704,0,0.002462,0.139648,0.00302,0.3125,0.00402,0,3.2071e-06,0
85,0.003085,0,0.002974,0.142578,0.003147,0.332031,0.004028,0,3.4299e-06,0
90,0.003315,0,0.00301,0.144531,0.00387,0.351562,0.004428,0,3.6497e-06,0
95,0.003767,0,0.003019,0.146484,0.00402,0.371094,0.005019,0,3.8775e-06,0
100,0.004183,0,0.003084,0.148438,0.004044,0.390625,0.005051,0,4.097e-06,0
150,0.009058,0,0.005491,0.166016,0.007032,0.585938,0.008794,0,6.4271e-06,0
200,0.015625,0,0.007969,0.178711,0.009586,0.78125,0.012176,0,8.8789e-06,0
300,0.03436,0,0.012574,0.197266,0.015789,1.17188,0.020014,0,1.40479e-05,0
400,0.059195,0,0.017561,0.209961,0.021582,1.5625,0.028078,0,1.93597e-05,0
500,0.091419,0,0.022729,0.220703,0.027774,1.95312,0.036491,0,2.49151e-05,0
